,Pair,Opened,Closed,Type,Entry Price,Exit Price,Amount,Profit,Balance
362,XBT/USD,2018-09-12 19:00:00,2018-09-16 03:00:00,long,6298.5,6488.5,3301851.0,15.350751085195364,618.7729171169321
363,XBT/USD,2018-10-15 06:00:00,2018-10-15 06:00:00,long,6652.0,6548.5,2744826.0,-6.521704189623338,635.5014101090574
364,XBT/USD,2019-11-06 08:00:00,2019-11-06 12:00:00,long,9420.5,9316.0,9819547.0,-11.69241738091218,1144.5790907209446
365,XBT/USD,2019-06-24 19:00:00,2019-06-27 08:00:00,long,10905.0,11935.5,7653780.0,60.59791530784706,1003.4905320051316
366,XBT/USD,2017-04-06 01:00:00,2017-04-08 17:00:00,long,1142.5,1186.0,155565.0,4.9941347079900185,165.88597499351982
367,XBT/USD,2017-09-09 21:00:00,2017-09-09 21:00:00,short,4270.7,4335.0,745744.0,-2.590076395397096,256.4175519295199
368,XBT/USD,2017-05-31 16:00:00,2017-06-04 19:00:00,long,2301.1,2488.0,262146.0,8.557889376547301,204.60820134399088
369,XBT/USD,2016-03-24 08:00:00,2016-03-24 14:00:00,short,413.31,418.0,34798.0,-0.9446587064241154,93.52124054794837
370,XBT/USD,2017-01-30 15:00:00,2017-02-05 13:00:00,long,919.16,1020.14,104253.0,11.227240719914343,136.5985739331935
371,XBT/USD,2019-04-26 02:00:00,2019-04-27 11:00:00,short,5221.0,5159.0,2537514.0,5.840915393085576,806.9487478875302
372,XBT/USD,2017-12-06 00:00:00,2017-12-08 12:00:00,long,11876.5,15024.5,3118130.0,55.009847406829635,374.4468131359136
373,XBT/USD,2015-12-08 07:00:00,2015-12-08 09:00:00,short,394.27,399.0,32747.0,-0.984614057526961,97.47809805747038
374,XBT/USD,2016-02-24 06:00:00,2016-02-24 11:00:00,short,416.46,421.5,32815.0,-0.94217607378099,93.27658536147119
375,XBT/USD,2016-05-19 07:00:00,2016-05-21 19:00:00,short,453.53,441.14,34970.0,2.1656311014420275,94.05372322072144
376,XBT/USD,2020-03-05 01:00:00,2020-03-07 17:00:00,long,8884.0,8937.5,9496011.0,6.398385260844481,1239.6394401781536
377,XBT/USD,2016-03-20 03:00:00,2016-03-21 04:00:00,long,409.83,408.06,33060.0,-0.3499035464595605,94.71966601810921
378,XBT/USD,2019-12-31 15:00:00,2020-01-01 16:00:00,short,7171.5,7225.0,7893284.0,-8.150113499538039,1191.0919590461694
379,XBT/USD,2017-04-12 23:00:00,2017-04-14 07:00:00,short,1217.1,1191.8,181712.0,3.169381263021962,165.75422122471747
380,XBT/USD,2020-04-06 03:00:00,2020-04-07 21:00:00,long,6850.0,7172.5,9780793.0,64.20112793948924,1648.3883502645492
381,XBT/USD,2017-10-07 10:00:00,2017-10-07 12:00:00,short,4312.6,4362.5,984128.0,-2.6102224188281498,258.4121253813285
382,XBT/USD,2019-07-02 19:00:00,2019-07-04 23:00:00,long,10763.5,11143.0,4638970.0,14.678365528337824,1045.7569273623542
